bin_id	section_id	cluster
14044543061700	cs12_3	domain_D
14044543062480	cs12_3	domain_D
14044543063080	cs12_3	domain_D
14044543063680	cs12_3	domain_D
14044543064550	cs12_3	domain_D
14044543065150	cs12_3	domain_D
14044543065750	cs12_3	domain_C
14044543066350	cs12_3	domain_C
14044543066950	cs12_3	domain_C
14173392080040	cs12_3	domain_D
14173392080640	cs12_3	domain_D
14173392081450	cs12_3	domain_D
14173392082050	cs12_3	domain_D
14173392082650	cs12_3	domain_D
14173392083430	cs12_3	domain_D
14173392084030	cs12_3	domain_D
14173392084630	cs12_3	domain_C
14173392085230	cs12_3	domain_C
14173392085830	cs12_3	domain_C
14302241098890	cs12_3	domain_D
14302241099490	cs12_3	domain_D
14302241100270	cs12_3	domain_D
14302241100870	cs12_3	domain_D
14302241101470	cs12_3	domain_D
14302241102130	cs12_3	domain_D
14302241102730	cs12_3	domain_D
14302241103330	cs12_3	domain_C
14302241103930	cs12_3	domain_C
14302241104530	cs12_3	domain_C
14302241105130	cs12_3	domain_C
14431090118280	cs12_3	domain_D
14431090119030	cs12_3	domain_D
14431090119630	cs12_3	domain_D
14431090120230	cs12_3	domain_D
14431090120830	cs12_3	domain_D
14431090121430	cs12_3	domain_D
14431090122030	cs12_3	domain_D
14431090122630	cs12_3	domain_C
14431090123230	cs12_3	domain_C
14431090123830	cs12_3	domain_C
14559939136950	cs12_3	domain_D
14559939137730	cs12_3	domain_D
14559939138510	cs12_3	domain_D
14559939139110	cs12_3	domain_D
14559939139710	cs12_3	domain_D
14559939140310	cs12_3	domain_D
14559939140910	cs12_3	domain_D
14559939141510	cs12_3	domain_C
14559939142110	cs12_3	domain_C
14559939142710	cs12_3	domain_C
14688788155800	cs12_3	domain_D
14688788156580	cs12_3	domain_D
14688788157510	cs12_3	domain_D
14688788158110	cs12_3	domain_D
14688788158710	cs12_3	domain_D
14688788159310	cs12_3	domain_D
14688788159910	cs12_3	domain_C
14688788160510	cs12_3	domain_C
14688788161110	cs12_3	domain_C
14688788161710	cs12_3	domain_C
14817637174800	cs12_3	domain_D
14817637175610	cs12_3	domain_D
14817637176540	cs12_3	domain_D
14817637177170	cs12_3	domain_D
14817637177770	cs12_3	domain_D
14817637178370	cs12_3	domain_D
14817637178970	cs12_3	domain_C
14817637179570	cs12_3	domain_C
14817637180170	cs12_3	domain_C
14817637180770	cs12_3	domain_C
14946486194040	cs12_3	domain_D
14946486195000	cs12_3	domain_D
14946486195630	cs12_3	domain_D
14946486196410	cs12_3	domain_D
14946486197010	cs12_3	domain_D
14946486197610	cs12_3	domain_D
14946486198210	cs12_3	domain_C
14946486198810	cs12_3	domain_C
14946486199410	cs12_3	domain_C
15075335212440	cs12_3	domain_D
15075335213280	cs12_3	domain_D
15075335214300	cs12_3	domain_D
15075335215320	cs12_3	domain_D
15075335215920	cs12_3	domain_D
15075335216520	cs12_3	domain_C
15075335217120	cs12_3	domain_C
15075335217720	cs12_3	domain_C
15075335218320	cs12_3	domain_C
15204184231200	cs12_3	domain_D
15204184232070	cs12_3	domain_D
15204184233180	cs12_3	domain_D
15204184234260	cs12_3	domain_D
15204184234860	cs12_3	domain_D
15204184235460	cs12_3	domain_C
15204184236060	cs12_3	domain_C
15204184236660	cs12_3	domain_C
15204184237260	cs12_3	domain_C
15333033250080	cs12_3	domain_D
15333033250980	cs12_3	domain_D
15333033252120	cs12_3	domain_D
15333033253290	cs12_3	domain_D
15333033253890	cs12_3	domain_D
15333033254490	cs12_3	domain_C
15333033255090	cs12_3	domain_C
15333033255690	cs12_3	domain_C
15333033256290	cs12_3	domain_C
15461882269050	cs12_3	domain_D
15461882270010	cs12_3	domain_D
15461882272140	cs12_3	domain_D
15461882272740	cs12_3	domain_D
15461882273340	cs12_3	domain_C
15461882273940	cs12_3	domain_C
15461882274540	cs12_3	domain_C
15461882275140	cs12_3	domain_C
15590731287900	cs12_3	domain_D
15590731288920	cs12_3	domain_D
15590731291140	cs12_3	domain_D
15590731291740	cs12_3	domain_D
15590731292340	cs12_3	domain_C
15590731292940	cs12_3	domain_C
15590731293540	cs12_3	domain_C
15590731294140	cs12_3	domain_C
15719580306840	cs12_3	domain_D
15719580307830	cs12_3	domain_D
15719580309900	cs12_3	domain_D
15719580310500	cs12_3	domain_D
15719580311100	cs12_3	domain_C
15719580311700	cs12_3	domain_C
15719580312300	cs12_3	domain_C
15719580312900	cs12_3	domain_C
15848429325600	cs12_3	domain_D
15848429326620	cs12_3	domain_D
15848429328480	cs12_3	domain_D
15848429329080	cs12_3	domain_D
15848429329680	cs12_3	domain_D
15848429330280	cs12_3	domain_C
15848429330880	cs12_3	domain_C
15848429331480	cs12_3	domain_C
15977278344120	cs12_3	domain_D
15977278345140	cs12_3	domain_D
15977278345740	cs12_3	domain_D
15977278347390	cs12_3	domain_D
15977278347990	cs12_3	domain_D
15977278348590	cs12_3	domain_D
15977278349190	cs12_3	domain_C
15977278349790	cs12_3	domain_C
15977278350390	cs12_3	domain_C
16106127363000	cs12_3	domain_D
16106127364050	cs12_3	domain_D
16106127364650	cs12_3	domain_D
16106127366240	cs12_3	domain_D
16106127366840	cs12_3	domain_D
16106127367440	cs12_3	domain_D
16106127368040	cs12_3	domain_C
16106127368640	cs12_3	domain_C
16106127369240	cs12_3	domain_C
16234976381820	cs12_3	domain_D
16234976382420	cs12_3	domain_D
16234976383560	cs12_3	domain_D
16234976385060	cs12_3	domain_D
16234976385660	cs12_3	domain_D
16234976386260	cs12_3	domain_D
16234976386860	cs12_3	domain_C
16234976387460	cs12_3	domain_C
16234976388060	cs12_3	domain_C
16234976388660	cs12_3	domain_C
16363825401210	cs12_3	domain_D
16363825402380	cs12_3	domain_D
16363825403850	cs12_3	domain_D
16363825404450	cs12_3	domain_D
16363825405050	cs12_3	domain_D
16363825405650	cs12_3	domain_C
16363825406250	cs12_3	domain_C
16363825406850	cs12_3	domain_C
16363825407450	cs12_3	domain_C
16492674419970	cs12_3	domain_D
16492674421200	cs12_3	domain_D
16492674422640	cs12_3	domain_D
16492674423240	cs12_3	domain_D
16492674423840	cs12_3	domain_D
16492674424440	cs12_3	domain_C
16492674425040	cs12_3	domain_C
16492674425640	cs12_3	domain_C
16492674426240	cs12_3	domain_C
16621523438760	cs12_3	domain_D
16621523440020	cs12_3	domain_D
16621523440620	cs12_3	domain_D
16621523442060	cs12_3	domain_D
16621523442660	cs12_3	domain_D
16621523443260	cs12_3	domain_C
16621523443860	cs12_3	domain_C
16621523444460	cs12_3	domain_C
16621523445060	cs12_3	domain_C
16750372457580	cs12_3	domain_D
16750372458780	cs12_3	domain_D
16750372459380	cs12_3	domain_D
16750372460790	cs12_3	domain_D
16750372461390	cs12_3	domain_D
16750372461990	cs12_3	domain_C
16750372462590	cs12_3	domain_C
16750372463190	cs12_3	domain_C
16750372463790	cs12_3	domain_C
16879221476280	cs12_3	domain_D
16879221477270	cs12_3	domain_D
16879221477960	cs12_3	domain_D
16879221479340	cs12_3	domain_D
16879221479940	cs12_3	domain_D
16879221480540	cs12_3	domain_D
16879221481140	cs12_3	domain_C
16879221481800	cs12_3	domain_C
16879221482400	cs12_3	domain_C
16879221483000	cs12_3	domain_C
17008070495460	cs12_3	domain_D
17008070496390	cs12_3	domain_D
17008070496990	cs12_3	domain_D
17008070498400	cs12_3	domain_D
17008070499000	cs12_3	domain_D
17008070499600	cs12_3	domain_D
17008070500320	cs12_3	domain_C
17008070500920	cs12_3	domain_C
17008070501520	cs12_3	domain_C
17136919513980	cs12_3	domain_D
17136919514850	cs12_3	domain_D
17136919515480	cs12_3	domain_D
17136919516200	cs12_3	domain_D
17136919517490	cs12_3	domain_D
17136919518090	cs12_3	domain_D
17136919518690	cs12_3	domain_C
17136919519470	cs12_3	domain_C
17136919520070	cs12_3	domain_C
17136919520670	cs12_3	domain_C
17265768533130	cs12_3	domain_D
17265768533940	cs12_3	domain_D
17265768534570	cs12_3	domain_D
17265768535950	cs12_3	domain_D
17265768536550	cs12_3	domain_D
17265768537150	cs12_3	domain_D
17265768537960	cs12_3	domain_C
17265768538560	cs12_3	domain_C
17265768539160	cs12_3	domain_C
17265768539760	cs12_3	domain_C
17394617552250	cs12_3	domain_D
17394617553060	cs12_3	domain_D
17394617553660	cs12_3	domain_D
17394617554980	cs12_3	domain_D
17394617555580	cs12_3	domain_D
17394617556180	cs12_3	domain_D
17394617556990	cs12_3	domain_C
17394617557590	cs12_3	domain_C
17394617558190	cs12_3	domain_C
17523466570680	cs12_3	domain_D
17523466571460	cs12_3	domain_D
17523466572210	cs12_3	domain_D
17523466572990	cs12_3	domain_D
17523466574100	cs12_3	domain_D
17523466574700	cs12_3	domain_D
17523466575300	cs12_3	domain_C
17523466576080	cs12_3	domain_C
17523466576680	cs12_3	domain_C
17523466577280	cs12_3	domain_C
17652315589770	cs12_3	domain_D
17652315590550	cs12_3	domain_D
17652315591360	cs12_3	domain_D
17652315592590	cs12_3	domain_D
17652315593190	cs12_3	domain_D
17652315593790	cs12_3	domain_D
17652315594600	cs12_3	domain_C
17652315595200	cs12_3	domain_C
17652315595800	cs12_3	domain_C
17652315596400	cs12_3	domain_C
17781164608890	cs12_3	domain_D
17781164609880	cs12_3	domain_D
17781164610690	cs12_3	domain_D
17781164611710	cs12_3	domain_D
17781164612310	cs12_3	domain_D
17781164612910	cs12_3	domain_D
17781164613720	cs12_3	domain_C
17781164614320	cs12_3	domain_C
17781164614920	cs12_3	domain_C
17910013627380	cs12_3	domain_D
17910013628160	cs12_3	domain_D
17910013628790	cs12_3	domain_D
17910013629600	cs12_3	domain_D
17910013630560	cs12_3	domain_D
17910013631160	cs12_3	domain_D
17910013631760	cs12_3	domain_D
17910013632570	cs12_3	domain_C
17910013633230	cs12_3	domain_C
17910013633830	cs12_3	domain_C
18038862646260	cs12_3	domain_D
18038862647040	cs12_3	domain_D
18038862647640	cs12_3	domain_D
18038862648240	cs12_3	domain_D
18038862649260	cs12_3	domain_D
18038862649860	cs12_3	domain_D
18038862650460	cs12_3	domain_D
18038862651270	cs12_3	domain_C
18038862651930	cs12_3	domain_C
18038862652530	cs12_3	domain_C
18167711664900	cs12_3	domain_D
18167711665500	cs12_3	domain_D
18167711666280	cs12_3	domain_D
18167711666880	cs12_3	domain_D
18167711667510	cs12_3	domain_D
18167711668380	cs12_3	domain_D
18167711668980	cs12_3	domain_D
18167711669580	cs12_3	domain_D
18167711670390	cs12_3	domain_C
18167711671080	cs12_3	domain_C
18167711671680	cs12_3	domain_C
18296560684050	cs12_3	domain_D
18296560684830	cs12_3	domain_D
18296560685430	cs12_3	domain_D
