x,y,_index
1110,5640,15719580312300
510,5640,15719580312900
6690,5610,15848429325600
5670,5610,15848429326620
3810,5610,15848429328480
3210,5610,15848429329080
2610,5610,15848429329680
2010,5610,15848429330280
1410,5610,15848429330880
810,5610,15848429331480
7050,5580,15977278344120
6030,5580,15977278345140
5430,5580,15977278345740
3780,5580,15977278347390
3180,5580,15977278347990
2580,5580,15977278348590
1980,5580,15977278349190
1380,5580,15977278349790
780,5580,15977278350390
7050,5550,16106127363000
6000,5550,16106127364050
5400,5550,16106127364650
3810,5550,16106127366240
3210,5550,16106127366840
2610,5550,16106127367440
2010,5550,16106127368040
1410,5550,16106127368640
810,5550,16106127369240
7110,5520,16234976381820
6510,5520,16234976382420
5370,5520,16234976383560
3870,5520,16234976385060
3270,5520,16234976385660
2670,5520,16234976386260
2070,5520,16234976386860
1470,5520,16234976387460
870,5520,16234976388060
270,5520,16234976388660
6600,5490,16363825401210
5430,5490,16363825402380
3960,5490,16363825403850
3360,5490,16363825404450
2760,5490,16363825405050
2160,5490,16363825405650
1560,5490,16363825406250
960,5490,16363825406850
360,5490,16363825407450
6720,5460,16492674419970
5490,5460,16492674421200
4050,5460,16492674422640
3450,5460,16492674423240
2850,5460,16492674423840
2250,5460,16492674424440
1650,5460,16492674425040
1050,5460,16492674425640
450,5460,16492674426240
6810,5430,16621523438760
5550,5430,16621523440020
4950,5430,16621523440620
3510,5430,16621523442060
2910,5430,16621523442660
2310,5430,16621523443260
1710,5430,16621523443860
1110,5430,16621523444460
510,5430,16621523445060
6870,5400,16750372457580
5670,5400,16750372458780
5070,5400,16750372459380
3660,5400,16750372460790
3060,5400,16750372461390
2460,5400,16750372461990
1860,5400,16750372462590
1260,5400,16750372463190
660,5400,16750372463790
7050,5370,16879221476280
6060,5370,16879221477270
5370,5370,16879221477960
3990,5370,16879221479340
3390,5370,16879221479940
2790,5370,16879221480540
2190,5370,16879221481140
1530,5370,16879221481800
930,5370,16879221482400
330,5370,16879221483000
6750,5340,17008070495460
5820,5340,17008070496390
5220,5340,17008070496990
3810,5340,17008070498400
3210,5340,17008070499000
2610,5340,17008070499600
1890,5340,17008070500320
1290,5340,17008070500920
690,5340,17008070501520
7110,5310,17136919513980
6240,5310,17136919514850
5610,5310,17136919515480
4890,5310,17136919516200
3600,5310,17136919517490
3000,5310,17136919518090
2400,5310,17136919518690
1620,5310,17136919519470
1020,5310,17136919520070
420,5310,17136919520670
6840,5280,17265768533130
6030,5280,17265768533940
5400,5280,17265768534570
4020,5280,17265768535950
3420,5280,17265768536550
2820,5280,17265768537150
2010,5280,17265768537960
1410,5280,17265768538560
810,5280,17265768539160
210,5280,17265768539760
6600,5250,17394617552250
5790,5250,17394617553060
5190,5250,17394617553660
3870,5250,17394617554980
3270,5250,17394617555580
2670,5250,17394617556180
1860,5250,17394617556990
1260,5250,17394617557590
660,5250,17394617558190
7050,5220,17523466570680
6270,5220,17523466571460
5520,5220,17523466572210
4740,5220,17523466572990
3630,5220,17523466574100
